Name en-US,Name zh-CN,Alias en-US,Alias zh-CN,Group en-US,Group zh-CN,Subgroup en-US,Subgroup zh-CN,Video FX,Transition FX,Media Generator FX,Composite Mode FX,UID
Ignite Motion Trails,Ignite 运动尾迹/轨迹,,,Ignite Pro,Ignite Pro,Ignite - Temporal,Ignite - 时间,√,,,,{Svfx:com.FXHOME.HitFilm.MotionTrails}
Ignite Neon Glow,Ignite 霓虹灯发光,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.NeonGlow}
Ignite Noise,Ignite 噪点,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.Noise}
Ignite Outer Glow,Ignite 外发光/投影发光,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.OuterGlow}
Ignite Page Curl,Ignite 页面卷曲,,,Ignite Pro,Ignite Pro,Ignite - Warp,Ignite - 变形,√,,,,{Svfx:com.FXHOME.HitFilm.PageCurl}
Ignite Parallax,Ignite 视差,,,Ignite Pro,Ignite Pro,Ignite - Scene,Ignite - 场景,√,,,,{Svfx:com.FXHOME.HitFilm.Parallax}
Ignite Perspective Warp,Ignite 透视变形,,,Ignite Pro,Ignite Pro,Ignite - Warp,Ignite - 变形,√,,,,{Svfx:com.FXHOME.HitFilm.PerspectiveWarp}
Ignite PiP,Ignite 画中画,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.PiP}
Ignite Pixel Sort,Ignite 像素排序,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.PixelSort}
Ignite Polar Warp,Ignite 极点状变形,,,Ignite Pro,Ignite Pro,Ignite - Warp,Ignite - 变形,√,,,,{Svfx:com.FXHOME.HitFilm.PolarWarp}
Ignite Pond Ripple,Ignite 池塘波纹,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.PondRipple}
Ignite Posterize,Ignite 色调分离/颜色块,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.Posterize}
Ignite Pro Skin Retouch,Ignite 专业皮肤修整,,,Ignite Pro,Ignite Pro,Ignite - Color Correction,Ignite - 颜色校正,√,,,,{Svfx:com.FXHOME.HitFilm.ProSkinRetouch}
Ignite Pulp Sci-fi Title Crawl,Ignite 科幻电影风格标题,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.StarWarsTextCrawl}
Ignite Puppet,Ignite 木偶工具,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.Puppet}
Ignite Quad Warp,Ignite 四点变形/边角定位,,,Ignite Pro,Ignite Pro,Ignite - Warp,Ignite - 变形,√,,,,{Svfx:com.FXHOME.HitFilm.QuadWarp}
Ignite Radial Blur,Ignite 径向模糊,,,Ignite Pro,Ignite Pro,Ignite - Blurs,Ignite - 模糊,√,,,,{Svfx:com.FXHOME.HitFilm.RadialBlur}
Ignite Radial Gradient,Ignite 径向渐变,,,Ignite Pro,Ignite Pro,Ignite - Gradients & Fills,Ignite - 渐变与填充,√,,√,,{Svfx:com.FXHOME.HitFilm.RadialGradient}
Ignite Radio Waves,Ignite 无线电波,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,√,,{Svfx:com.FXHOME.HitFilm.RadioWaves}
Ignite Rain On Glass,Ignite 玻璃雨滴,,,Ignite Pro,Ignite Pro,Ignite - Particles & Simulation,Ignite - 粒子与仿真,√,,,,{Svfx:com.FXHOME.HitFilm.RainOnGlass}
Ignite Reflection,Ignite 镜像/反射,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Reflection}
Ignite Remove Color Matting,Ignite 移除蒙版颜色,,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,√,,,,{Svfx:com.FXHOME.HitFilm.RemoveFringe}
Ignite Remove Stock Background,Ignite 移除素材背景,,,Ignite Pro,Ignite Pro,Ignite - Keying,Ignite - 键控,√,,,,{Svfx:com.FXHOME.HitFilm.RemoveStockBackground}
Ignite Rolling Shutter,Ignite 卷帘快门/果冻效应 修复,,,Ignite Pro,Ignite Pro,Ignite - Video Clean-up,Ignite - 视频清理,√,,,,{Svfx:com.FXHOME.HitFilm.RollingShutter}
Ignite Scan Lines,Ignite 扫描线,HitFilm Scan Lines,HitFilm Scan Lines,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.ScanLines}
Ignite Set Matte,Ignite 设置蒙版,,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,,,,√,{Svfx:com.FXHOME.HitFilm.SetMatte}
Ignite Shadows & Highlights,Ignite 阴影和高光,,,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,√,,,,{Svfx:com.FXHOME.HitFilm.ShadowsHighlights}
Ignite Shake,Ignite 抖动,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.Shake}
